Project ID,Project Name,Program Group,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,12/27/2019,,326090,735,LINCOLN AVENUE,Brooklyn,11208,3042719001,3343256,BK-05,42,1208,BK82,40.671189,-73.866071,,,,Preservation,No,Non Prevailing Wage,2,42,250,0,0,0,32,115,97,50,0,0,0,0,294,0,294,294
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,12/27/2019,,808252,790,ELDERT LANE,Brooklyn,11208,3042719001,3343252,BK-05,42,1208,BK82,40.670554,-73.863105,,,,Preservation,No,Non Prevailing Wage,1,33,260,0,0,0,32,115,97,50,0,0,0,0,294,0,294,294
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,12/27/2019,,808705,765,LINCOLN AVENUE,Brooklyn,11208,3042719001,3343260,BK-05,42,1208,BK82,40.67028,-73.865853,,,,Preservation,No,Non Prevailing Wage,0,32,261,0,0,1,32,115,97,50,0,0,0,0,294,0,294,294
69399,179 NORTH 7TH STREET APARTMENTS,Multifamily Incentives Program,12/27/2019,,988014,179 REAR,NORTH 7 STREET,Brooklyn,,,,BK-01,33,,,,,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,9
66720,J2,Multifamily Finance Program,12/24/2019,,985837,147-07,94 AVENUE,Queens,11435,4099980025,4448835,QN-12,27,208,QN61,40.699143,-73.806639,40.69954,-73.806194,,New Construction,No,Non Prevailing Wage,53,163,0,190,0,2,84,196,128,0,0,0,0,0,408,0,408,543
69397,254 EAST 28TH STREET,Multifamily Incentives Program,12/24/2019,,991445,254,EAST 28 STREET,Brooklyn,11226,3051710036,3119147,BK-17,45,826,BK95,40.643831,-73.950752,40.64373,-73.951019,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,10
69398,FENIMORE STREET APARTMENTS,Multifamily Incentives Program,12/24/2019,,988958,293,FENIMORE STREET,Brooklyn,11225,3050390074,,BK-09,40,802,BK60,40.658574,-73.952496,40.65877,-73.952612,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3
69398,FENIMORE STREET APARTMENTS,Multifamily Incentives Program,12/24/2019,,988963,289,FENIMORE STREET,Brooklyn,11225,3050390076,,BK-09,40,802,BK60,40.658566,-73.95259,40.65876,-73.952767,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,16
69398,FENIMORE STREET APARTMENTS,Multifamily Incentives Program,12/24/2019,,990327,291,FENIMORE STREET,Brooklyn,11225,3050390075,,BK-09,40,802,BK60,40.658568,-73.952543,40.65876,-73.952691,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3
69355,GOODWILL TERRACE,Multifamily Finance Program,12/23/2019,,413164,21-Apr,27 AVENUE,Queens,11102,4009090001,4020648,QN-01,22,87,QN71,40.774582,-73.932957,40.77487,-73.932491,,Preservation,No,Non Prevailing Wage,0,0,0,201,0,1,116,72,13,0,0,0,0,1,202,0,202,202
69395,114 JEFFERSON STREET,Multifamily Incentives Program,12/23/2019,,992330,114,JEFFERSON STREET,Brooklyn,11206,3031720010,3072238,BK-04,34,425,BK78,40.699707,-73.930771,40.69938,-73.930742,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8
69396,HALSEY STREET APARTMENTS,Multifamily Incentives Program,12/23/2019,,306102,625,HALSEY STREET,Brooklyn,11233,3016620059,,BK-03,36,383,BK35,40.684389,-73.927466,40.68462,-73.927336,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,10
69396,HALSEY STREET APARTMENTS,Multifamily Incentives Program,12/23/2019,,993483,625A,HALSEY STREET,Brooklyn,11233,3016620059,,BK-03,36,383,BK35,40.684389,-73.927466,40.68462,-73.927336,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,10
51582,425 GRAND CONCOURSE,Multifamily Finance Program,12/20/2019,,975396,425,GRAND CONCOURSE,Bronx,10451,2023460001,,BX-01,17,63,BX63,40.817142,-73.927957,40.81698,-73.928521,,New Construction,No,Non Prevailing Wage,56,55,96,69,0,1,45,92,94,46,0,0,0,0,277,0,277,277
58780,DINSMORE CHESTNUT,Multifamily Finance Program,12/20/2019,,993573,110,DINSMORE PLACE,Brooklyn,11208,,,BK-05,37,1178,BK83,40.681427,-73.875399,,,,New Construction,No,Non Prevailing Wage,104,115,55,0,0,1,47,70,101,57,0,0,0,0,275,0,275,275
64232,RADROC,Multifamily Finance Program,12/20/2019,,982787,19-38,CORNAGA AVENUE,Queens,11691,4155610058,,QN-14,31,101001,QN15,40.602296,-73.752541,40.60253,-73.752573,,New Construction,No,Non Prevailing Wage,18,74,80,0,0,1,39,80,48,6,0,0,0,0,173,0,173,173
64232,RADROC,Multifamily Finance Program,12/20/2019,,988401,18-Oct,BEACH 20 STREET,Queens,11691,4155610008,,QN-14,31,101001,QN15,40.602824,-73.753206,40.60277,-73.752914,,New Construction,No,Non Prevailing Wage,7,27,46,0,0,0,18,38,17,7,0,0,0,0,80,0,80,80
66102,1613 REALTY LTD.GHPP.FY20,Multifamily Finance Program,12/20/2019,,85454,1135,HOE AVENUE,Bronx,10459,2027450046,2006069,BX-03,17,125,BX35,40.827139,-73.890913,40.82703,-73.89109,,Preservation,No,Non Prevailing Wage,1,9,21,0,0,1,0,25,5,2,0,0,0,0,32,0,32,32
66970,HUNTERS POINT SOUTH PARCELS F AND G,Multifamily Finance Program,12/20/2019,,992321,57-28,2 STREET,Queens,11101,4000060020,,QN-02,26,1,QN31,40.738823,-73.960598,40.7381,-73.960725,,New Construction,No,Non Prevailing Wage,66,44,22,89,110,1,67,196,47,22,0,0,0,0,332,0,332,443
66970,HUNTERS POINT SOUTH PARCELS F AND G,Multifamily Finance Program,12/20/2019,,993728,15-Jan,57 AVENUE,Queens,11101,4000060030,,QN-02,26,1,QN31,40.739054,-73.961601,40.73929,-73.961175,,New Construction,No,Non Prevailing Wage,104,67,35,138,172,1,152,179,163,23,0,0,0,0,517,0,517,689
67367,BEACH 21ST STREET,Multifamily Finance Program,12/20/2019,,992168,1047,BEACH 21 STREET,Queens,11691,,,QN-14,31,100802,QN15,40.603358,-73.753866,,,,New Construction,No,Non Prevailing Wage,23,88,112,0,0,1,35,85,71,33,0,0,0,0,224,0,224,224
68080,980 WESTCHESTER AVE.,Multifamily Finance Program,12/20/2019,,992352,980,WESTCHESTER AVENUE,Bronx,10459,2027140030,2005661,BX-02,17,159,BX27,40.823204,-73.894731,40.82306,-73.89436,,New Construction,No,Non Prevailing Wage,51,40,59,0,0,1,47,64,23,17,0,0,0,0,151,0,151,151
69339,CONFIDENTIAL,Homeowner Assistance Program,12/20/2019,12/20/2019,,----,----,Bronx,,,,BX-01,17,,,,,,,12/20/2019,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
69392,1266 OCEAN PARKWAY APARTMENTS,Multifamily Incentives Program,12/20/2019,,984581,1266,OCEAN PARKWAY,Brooklyn,11230,3065410035,3171719,BK-12,44,448,BK46,40.617918,-73.969296,40.61772,-73.969909,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,10
69393,1266 PACIFIC STREET APARTMENTS,Multifamily Incentives Program,12/20/2019,,349495,1266,PACIFIC STREET,Brooklyn,11216,3012070006,3030040,BK-08,36,315,BK61,40.677607,-73.949087,40.67737,-73.949357,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,10
49713,SOBRO. 988 WASHINGTON AVE. NEW ROADS PLAZA,Multifamily Finance Program,12/19/2019,,950357,986,WASHINGTON AVENUE,Bronx,10456,2023690001,,BX-03,17,185,BX35,40.825945,-73.909852,40.82589,-73.909628,,New Construction,No,Non Prevailing Wage,57,0,37,0,0,1,57,19,19,0,0,0,0,0,95,0,95,95
65563,LES 278 HDFC.PLP.FY20 (278 EAST 7 STREET),Multifamily Finance Program,12/19/2019,,11162,276,EAST 7 STREET,Manhattan,10009,1003760031,1004487,MN-03,2,2602,MN28,40.723448,-73.97738,40.72309,-73.977077,,Preservation,No,Non Prevailing Wage,1,14,2,0,0,0,1,9,2,5,0,0,0,0,0,17,17,17
68157,GREENPOINT LANDING D2,Multifamily Incentives Program,12/19/2019,,988654,221,WEST STREET,Brooklyn,11222,,,BK-01,33,563,BK76,40.734469,-73.960023,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,83,0,18,42,23,0,0,0,0,0,83,0,83,302
68158,GREENPOINT LANDING D3,Multifamily Incentives Program,12/19/2019,,991141,213,WEST STREET,Brooklyn,11222,3024720002,,BK-01,33,563,BK76,40.73434,-73.960005,40.73467,-73.961748,,New Construction,No,Non Prevailing Wage,0,0,76,0,32,0,23,31,48,6,0,0,0,0,108,0,108,108
69394,103-43 120TH STREET APARTMENTS,Multifamily Incentives Program,12/19/2019,,989590,103-43,120 STREET,Queens,11419,4095580044,4203780,QN-10,28,15802,QN55,40.687518,-73.823612,40.68711,-73.823055,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,10
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,12/18/2019,,972405,204,AVENUE A,Manhattan,10009,1004060006,1005201,MN-03,2,34,MN22,40.729512,-73.981,40.72938,-73.980751,,New Construction,No,Non Prevailing Wage,0,0,10,0,0,0,0,8,2,0,0,0,0,0,0,10,10,10
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,12/18/2019,,972406,535,EAST 12 STREET,Manhattan,10009,1004060047,1005227,MN-03,2,34,MN22,40.728708,-73.980405,40.72861,-73.979615,,New Construction,No,Non Prevailing Wage,0,0,0,0,11,0,1,10,0,0,0,0,0,0,11,0,11,11
65306,MARCUS GARVEY PHASE I-BUILDING B + D,Multifamily Incentives Program,12/18/2019,,991644,169,LIVONIA AVENUE,Brooklyn,11212,3035730001,3326498,BK-16,41,924,BK81,40.662164,-73.911587,40.66291,-73.91128,,New Construction,No,Non Prevailing Wage,9,12,57,0,0,0,19,32,13,14,0,0,0,0,78,0,78,78
65306,MARCUS GARVEY PHASE I-BUILDING B + D,Multifamily Incentives Program,12/18/2019,,993171,215,LIVONIA AVENUE,Brooklyn,11212,3035740001,3345333,BK-16,41,924,BK81,40.662402,-73.909998,40.66311,-73.910509,,New Construction,No,Non Prevailing Wage,1,64,30,0,0,0,20,36,19,20,0,0,0,0,95,0,95,96
67130,COMMUNITY ACCESS. 1159 RIVER AVENUE,Multifamily Finance Program,12/18/2019,,988878,1159,RIVER AVENUE,Bronx,10452,,,BX-04,16,197,BX63,40.834635,-73.921947,,,,New Construction,No,Non Prevailing Wage,148,0,96,0,0,1,145,28,55,17,0,0,0,0,245,0,245,245
68210,COMUNILIFE. 3395-3401 THIRD AVENUE,Multifamily Finance Program,12/18/2019,,989008,3401,3 AVENUE,Bronx,10456,2023710052,2001305,BX-03,16,185,BX35,40.828457,-73.906973,40.82847,-73.90746,,New Construction,No,Non Prevailing Wage,90,29,28,0,0,1,112,36,0,0,0,0,0,0,148,0,148,148
69184,MARCUS GARVEY PHASE I- BUILDING F,Multifamily Incentives Program,12/18/2019,,992863,449,CHESTER STREET,Brooklyn,11212,3036020012,,BK-16,42,916,BK81,40.660422,-73.909334,40.66031,-73.909024,,New Construction,No,Non Prevailing Wage,9,80,84,0,0,0,55,67,34,17,0,0,0,0,173,0,173,174
69338,CONFIDENTIAL,Homeowner Assistance Program,12/17/2019,12/17/2019,,----,----,Brooklyn,,,,BK-05,37,,,,,,,12/17/2019,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
69391,753 ELTON AVENUE APARTMENTS,Multifamily Incentives Program,12/17/2019,,941699,753,ELTON AVENUE,Bronx,10451,2023780029,,BX-01,17,69,BX34,40.820766,-73.913779,40.82073,-73.914076,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,8
65582,4697 THIRD AVENUE,Small Homes Program,12/12/2019,,993492,4697,3 AVENUE,Bronx,10458,2030410038,,BX-06,15,385,BX01,40.85869,-73.891129,40.85871,-73.891418,,New Construction,No,Non Prevailing Wage,12,12,28,0,0,1,7,19,20,7,0,0,0,0,53,0,53,53
68542,CHATTERTON.HRP.FY20,Multifamily Finance Program,12/12/2019,,104641,1041,PUGSLEY AVENUE,Bronx,10472,2037880021,2025666,BX-09,18,4001,BX55,40.827716,-73.856386,40.82781,-73.857094,,Preservation,No,Non Prevailing Wage,6,126,0,0,0,1,0,50,56,25,2,0,0,0,0,133,133,133
68267,SUNSET GARDENS HDFC.HUDMF,Multifamily Finance Program,12/11/2019,12/11/2019,938231,405,44 STREET,Brooklyn,11220,3007290072,3011001,BK-07,38,82,BK32,40.64955,-74.008627,40.64969,-74.008408,12/11/2019,Preservation,Yes,Non Prevailing Wage,80,1,0,0,0,0,0,81,0,0,0,0,0,0,81,0,81,81
69390,177-14 WEXFORD TERRACE,Multifamily Incentives Program,12/11/2019,,703836,177-14,WEXFORD TERRACE,Queens,11432,4098350026,4617569,QN-08,24,466,QN06,40.713096,-73.785998,40.71269,-73.786544,,New Construction,No,Non Prevailing Wage,0,0,0,0,12,0,0,6,6,0,0,0,0,0,12,0,12,39
69389,1613 BROOKLYN AVENUE APARTMENTS,Multifamily Incentives Program,12/10/2019,,991288,1617,BROOKLYN AVENUE,Brooklyn,11210,3075640031,3206136,BK-17,45,784,BK91,40.633506,-73.941908,40.63358,-73.941608,,New Construction,No,Non Prevailing Wage,0,0,0,0,11,0,0,7,4,0,0,0,0,0,11,0,11,35
68526,PLAZA APARTMENTS,Multifamily Finance Program,12/09/2019,12/09/2019,228365,212,CROWN STREET,Brooklyn,11225,3012960008,3034160,BK-09,35,321,BK63,40.666421,-73.953403,40.66619,-73.953338,12/09/2019,Preservation,Yes,Non Prevailing Wage,29,3,1,2,0,0,4,11,13,7,0,0,0,0,35,0,35,35
68526,PLAZA APARTMENTS,Multifamily Finance Program,12/09/2019,12/09/2019,373954,298,ST JOHNS PLACE,Brooklyn,11238,3011720027,3029358,BK-08,35,207,BK64,40.674191,-73.967753,40.67395,-73.967594,12/09/2019,Preservation,Yes,Non Prevailing Wage,12,2,1,0,0,0,2,6,4,3,0,0,0,0,15,0,15,15
68526,PLAZA APARTMENTS,Multifamily Finance Program,12/09/2019,12/09/2019,949874,304,SAINT JOHNS PLACE,Brooklyn,11238,3011720028,3029359,BK-08,35,207,BK64,40.674232,-73.967616,40.67399,-73.967446,12/09/2019,Preservation,Yes,Non Prevailing Wage,10,0,2,1,0,0,0,4,7,2,0,0,0,0,13,0,13,13
68526,PLAZA APARTMENTS,Multifamily Finance Program,12/09/2019,12/09/2019,991328,308,ST JOHNS PLACE,Brooklyn,11238,3011720029,3029360,BK-08,35,207,BK64,40.674257,-73.967522,40.67405,-73.967313,12/09/2019,Preservation,Yes,Non Prevailing Wage,7,3,2,0,0,1,0,3,7,3,0,0,0,0,13,0,13,13
69336,CONFIDENTIAL,Homeowner Assistance Program,12/09/2019,12/09/2019,,----,----,Staten Island,,,,SI-01,49,,,,,,,12/09/2019,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
69337,CONFIDENTIAL,Homeowner Assistance Program,12/09/2019,12/09/2019,,----,----,Queens,,,,QN-11,23,,,,,,,12/09/2019,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
69388,TROUTMAN STREET APARTMENTS,Multifamily Incentives Program,12/09/2019,,991662,31,TROUTMAN STREET,Brooklyn,11206,3031710069,,BK-04,34,391,BK78,40.698157,-73.932561,40.69819,-73.933001,,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,6,18
69419,456 AVENUE P APARTMENTS,Multifamily Incentives Program,12/09/2019,,193529,456,AVENUE P,Brooklyn,11223,3066357501,3425639,BK-15,44,422,BK25,40.609078,-73.970575,40.60881,-73.970568,,New Construction,No,Non Prevailing Wage,0,0,0,0,9,0,0,6,3,0,0,0,0,0,9,0,9,28
69334,CONFIDENTIAL,Homeowner Assistance Program,12/06/2019,12/06/2019,,----,----,Bronx,,,,BX-08,11,,,,,,,12/06/2019,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
69335,CONFIDENTIAL,Homeowner Assistance Program,12/06/2019,12/06/2019,,----,----,Manhattan,,,,MN-05,4,,,,,,,12/06/2019,New Construction,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
69387,19 MALTA STREET,Multifamily Incentives Program,12/06/2019,,331378,19,MALTA STREET,Brooklyn,11207,3042950073,3421411,BK-05,42,1130,BK85,40.659854,-73.895883,40.66002,-73.89571,,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,2,6
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,12/05/2019,,217176,55,CARLTON AVENUE,Brooklyn,11205,3020310001,3057984,BK-02,35,211,BK68,40.6965,-73.973501,40.69632,-73.973245,,Preservation,No,Non Prevailing Wage,0,0,0,6,0,0,0,1,5,0,0,0,0,0,0,6,6,6
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,12/05/2019,,230287,546,DEKALB AVENUE,Brooklyn,11205,3017780014,3049600,BK-03,36,241,BK75,40.690974,-73.954774,40.69086,-73.954709,,Preservation,No,Non Prevailing Wage,0,0,0,7,0,0,0,1,6,0,0,0,0,0,0,7,7,7
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,12/05/2019,,349463,1216,PACIFIC STREET,Brooklyn,11216,3012060020,3029989,BK-08,36,315,BK61,40.677746,-73.951376,40.67752,-73.951607,,Preservation,No,Non Prevailing Wage,0,0,0,5,0,0,1,4,0,0,0,0,0,0,5,0,5,5
68079,167-171 CHRYSTIE STREET,Multifamily Incentives Program,12/05/2019,,991704,167,CHRYSTIE STREET,Manhattan,10002,1004250031,,MN-03,1,18,MN27,40.720791,-73.992485,40.7208,-73.992857,,New Construction,No,Non Prevailing Wage,0,7,8,0,0,0,5,8,2,0,0,0,0,0,15,0,15,78
69386,2746 FULTON STREET,Multifamily Incentives Program,12/05/2019,,988957,2746,FULTON STREET,Brooklyn,11207,3036740016,3083379,BK-05,37,1198,BK82,40.677791,-73.89323,40.67758,-73.893198,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,9
69385,100 SUYDAM STREET,Multifamily Incentives Program,12/04/2019,,340553,1251,MYRTLE AVENUE,Brooklyn,11221,3032170004,,BK-04,34,423,BK78,40.697705,-73.928851,40.69788,-73.928732,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,10
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,12/03/2019,,23579,406,LENOX AVENUE,Manhattan,10037,1017280002,1053770,MN-10,9,208,MN03,40.811095,-73.943049,40.81093,-73.942677,,Preservation,No,Non Prevailing Wage,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,9,9
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,12/03/2019,,23593,422,LENOX AVENUE,Manhattan,10037,1017290101,1053873,MN-10,9,208,MN03,40.811699,-73.942612,40.81154,-73.942265,,Preservation,No,Non Prevailing Wage,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,4,4
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,12/03/2019,,23595,424,LENOX AVENUE,Manhattan,10037,1017290002,1053825,MN-10,9,208,MN03,40.81174,-73.942579,40.81158,-73.942236,,Preservation,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,3
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,12/03/2019,,23596,426,LENOX AVENUE,Manhattan,10037,1017290003,1053826,MN-10,9,208,MN03,40.811779,-73.94255,40.81162,-73.942207,,Preservation,No,Non Prevailing Wage,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3,3
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,12/03/2019,,23597,428,LENOX AVENUE,Manhattan,10037,1017290103,1053874,MN-10,9,208,MN03,40.81182,-73.942521,40.81166,-73.942178,,Preservation,No,Non Prevailing Wage,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,4,4
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,12/03/2019,,23600,432,LENOX AVENUE,Manhattan,10037,1017290172,1053884,MN-10,9,208,MN03,40.811899,-73.94246,40.81174,-73.94212,,Preservation,No,Non Prevailing Wage,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,3
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,12/03/2019,,40420,135,WEST 132 STREET,Manhattan,10027,1019170016,1058151,MN-10,9,226,MN03,40.812676,-73.94337,40.81297,-73.943535,,Preservation,No,Non Prevailing Wage,0,0,0,29,0,0,5,1,12,11,0,0,0,0,0,29,29,29
69384,495 ST. JOHNS PLACE,Multifamily Incentives Program,12/03/2019,,374023,495,ST JOHNS PLACE,Brooklyn,11238,3011740049,,BK-08,35,215,BK64,40.673325,-73.961646,40.67355,-73.961426,,New Construction,No,Non Prevailing Wage,0,0,0,0,8,0,2,2,4,0,0,0,0,0,8,0,8,26
68810,215 AUDUBON AVENUE HDFC.GHPP.FY20,Multifamily Finance Program,12/02/2019,,6199,215,AUDUBON AVENUE,Manhattan,10033,1021320007,1063180,MN-12,10,261,MN36,40.845367,-73.934787,40.8452,-73.934563,,Preservation,No,Non Prevailing Wage,24,19,3,0,0,1,0,12,12,23,0,0,0,0,47,0,47,47
69383,1329 EAST 13TH STREET,Multifamily Incentives Program,12/02/2019,,243352,1329,EAST 13 STREET,Brooklyn,11230,3067420075,3180868,BK-14,48,768,BK43,40.61681,-73.96169,40.6171,-73.96147,,New Construction,No,Non Prevailing Wage,0,0,0,0,5,0,1,0,4,0,0,0,0,0,5,0,5,14
69382,505 UNION AVENUE APARTMENTS,Multifamily Incentives Program,11/29/2019,,382976,503,UNION AVENUE,Brooklyn,11211,3023150021,3061860,BK-01,33,519,BK73,40.715665,-73.951889,40.71577,-73.952192,,New Construction,No,Non Prevailing Wage,0,0,0,0,7,0,0,7,0,0,0,0,0,0,7,0,7,23
